,货号,通用名,剂型,规格,生产厂家,批准文号,单位
645,67568,蒲公英颗粒,颗粒剂,每袋装15g,昆明中药厂有限公司,国药准字Z53020871,盒
646,67569,腹可安片,片剂,12片*2板,广东在田药业有限公司,国药准字Z44020621,盒
647,67570,清喉咽颗粒,颗粒剂,每袋装18g,广东在田药业有限公司,国药准字Z44020671,盒
648,67571,消炎止痢灵片,片剂(薄膜衣),每片重0.47g,黑龙江康麦斯药业有限公司,国药准字Z23020028,盒
649,67572,复方酮康唑软膏,软膏剂,每克含酮康唑10毫克和丙酸氯倍他索0.5毫克,江西吉安三力制药有限公司,国药准字H20083591,盒
650,67573,龙胆泻肝片,片剂,每片相当于总药材0.84g,昆明中药厂有限公司,国药准字Z53020882,盒
651,67574,95%酒精,,500ml,洛阳尚春生物科技有限公司,豫卫消证字2018第0010号,瓶
652,67575,盐酸左氧氟沙星片,片剂,按C18H20FN3O4计算0.1g,江苏鹏鹞药业有限公司,国药准字H20057803,盒
653,67576,罗汉果止咳糖浆,糖浆剂,130ml,广西半宙大康制药有限公司,国药准字Z20064172,瓶
654,67577,95%复方酒精消毒液,,500ml,山东安捷高科消毒科技有限公司,鲁卫消证字2003第0020号,瓶
655,67578,风寒咳嗽颗粒,颗粒剂,每袋装5g,云南铭鼎药业有限公司,国药准字Z53020984,盒
656,67579,阿莫西林颗粒,颗粒剂,0.125g*12包,上海华源安徽仁济制药有限公司,国药准字H34023715,盒
657,67580,清火栀麦片,片剂,每片重0.31g(相当于饮片1.0g),江西药都樟树制药有限公司,国药准字Z36021804,盒
658,67581,玄麦甘桔颗粒,颗粒剂,每袋装10g,四川高原明珠药业有限公司,国药准字Z51021394,袋
659,67582,舒极藏霸,,10g*1,三明市浦嘉南洋生物科技有限公司,闽卫消证字2010第0021号,支
660,67583,独活止痛搽剂,搽剂,40ml,葵花药业集团(襄阳)隆中有限公司,国药准字Z42021634,盒
661,67584,罗红霉素分散片,片剂,0.15g*12片,海南海神同洲制药有限公司,国药准字H20093868,盒
662,67585,六味地黄丸(浓缩丸),丸剂,每克为5丸(每8丸相当于原药材3g),黑龙江葵花药业股份有限公司,国药准字Z20053951,盒
663,67586,阿奇霉素颗粒,颗粒剂,0.1g*12袋,安徽仁和药业有限公司,国药准字H20093855,盒
664,67587,奥美拉唑肠溶胶囊,胶囊剂,20mg*28粒,山东罗欣药业集团股份有限公司,国药准字H20033444,盒
665,67589,加味左金丸,丸剂,每100丸重6克,江西药都樟树制药有限公司,国药准字Z20093307,盒
666,67590,脑络通胶囊,胶囊剂,0.5g*30粒,焦作福瑞堂制药有限公司,国药准字Z19993103,瓶
667,67591,大豆异黄酮钙软胶囊,,0.5g*100粒,广州长生康生物科技有限公司,国食健字G20141166,瓶
668,67592,葡萄籽护瞳,外用,100ml,西安惠众生物科技有限公司,陕西械备20180315号,盒
669,67593,维生素E乳膏,外用,100g/瓶,江西豪健实业有限公司,,瓶
670,67594,康富丽牌鱼油软胶囊,胶囊剂,1g*100粒,广州长生康生物科技有限公司,国食健字G20100357,瓶
671,67595,褪黑素软胶囊,胶囊剂,0.5g*100粒,广州长生康生物科技有限公司,国食健字G20110475,瓶
672,67596,玻璃体温计,,支,安徽方达药械有限公司,皖械注准20182200339,支
673,67597,棉签,外用,1*40,南昌市爱益卫生材料有限公司,,包
674,67598,医用脱脂棉,,10g,阳谷景阳冈卫生材料厂,,包
675,67599,脑心舒口服液,合剂,每支装10ml*9支,江苏神华药业有限公司,国药准字Z32020215,盒
676,67600,左炔诺孕酮片,片剂,1.5mg,北京法莫斯达制药科技有限公司,国药准字H20133081,盒
677,67601,小儿清热止咳颗粒,颗粒剂,每袋装6g*10袋,黑龙江省济仁药业有限公司,国药准字Z20033093,盒
678,67602,小柴胡颗粒,颗粒剂,每袋装10克,江西汪氏药业有限公司,国药准字Z36020674,盒
679,67603,红花油,,25ml,江西水滴药业有限公司,赣卫消证字（2018）第C020号,盒
680,67604,复方甘草片,片剂,100片,西南药业股份有限公司,H50020061,瓶
681,67605,葡萄糖酸钙锌口服溶液,口服溶液剂,10ml*12支,湖北午时药业股份有限公司,国药准字H20059419,盒
682,67606,老蔻丸,丸剂,每袋装3.6克,内蒙古天奇中蒙制药股份有限公司,国药准字Z20093400,盒
683,67607,归龙筋骨宁片,片剂,片芯重0.25g,长春人民药业集团有限公司,国药准字Z20026139,盒
684,67608,老年咳喘片,片剂,每基片重0.31g,广西恒力宝药业有限公司,国药准字Z20103022,盒
685,67609,龙牡壮骨颗粒,颗粒剂,每袋装5g；每袋装3g(无蔗糖),健民药业集团股份有限公司,国药准字Z42021662,盒
686,67610,消炎利胆片,片剂,每片重0.25g(薄膜衣片);----（糖衣片）,云南金柯制药有限公司,国药准字Z53020252,盒
687,67611,复方感冒灵片,片剂,每片含原药材6.25g;含对乙酰氨基酚42mg,广西金诺制药有限公司,国药准字Z45022183,瓶
688,67612,感冒清片,片剂,每素片重0.22g(含对乙酰氨基酚12mg),广东恒诚制药有限公司,国药准字Z44023388,瓶
689,67613,洛索洛芬钠分散片,片剂,60mg*10片,山东裕欣药业有限公司,国药准字H20163219,盒
690,67614,小儿麻甘颗粒,颗粒剂,每袋装10g、10g/瓶,葵花药业集团湖北武当有限公司,国药准字Z42021125,盒
691,67615,利胆排石片,片剂(糖衣),80片/瓶,葵花药业集团（伊春）有限公司,国药准字Z23020407,瓶
692,67616,蒲地蓝消炎片,片剂(薄膜衣片),每片重0.3g,湖南方盛制药股份有限公司,国药准字Z20043422,盒
693,67617,复方羊角片,片剂(糖衣),基片重0.4g,吉林省健今药业有限责任公司,国药准字Z15020799,盒
694,67618,氯雷他定片,片剂,10mg*5片,江苏黄河药业股份有限公司,国药准字H20050953,盒
695,67619,阿奇霉素片,片剂,0.25g,葵花药业集团（衡水）得菲尔有限公司,国药准字H20065822,盒
696,67620,甲硝唑氯己定洗剂,洗剂,200ml,深圳市佳泰药业股份有限公司,国药准字H20063211,瓶
697,67621,芩黄喉症胶囊,胶囊剂,每粒装0.4g,葵花药业集团(吉林)临江有限公司,国药准字Z20026606,盒
698,67622,川贝枇杷糖浆,糖浆剂,每瓶装100ml,四川省府庆制药有限公司,国药准字Z51021386,瓶
699,67623,血塞通片,片剂,50mg（糖衣片）;每片含三七总皂苷50mg（薄膜衣片）,湖南湘雅制药有限公司,国药准字Z43020992,盒
700,67624,通脉颗粒,颗粒剂,每袋装10g,葵花药业集团（唐山）生物制药有限公司,国药准字Z13020086,盒
701,67625,蛇胆川贝液,糖浆剂,每支装10毫升,武汉太福制药有限公司,国药准字Z42021846,盒
702,67626,复方蛤青片,片剂(糖衣片),24片,四川好医生攀西药业有限责任公司,国药准字Z19983078,盒
703,67627,口腔炎喷雾剂,喷雾剂,每瓶20ml,黑龙江天龙药业有限公司,国药准字Z20044198,瓶
704,67628,喉痛消炎丸,丸剂(水丸),每100丸重0.3g,湖北金龙福药业有限公司,国药准字Z42020586,盒
705,67629,晕车贴,外用,6片,阜阳市贤信堂药业有限公司,Q/Fxxt001-2018,盒
706,67630,藿香清胃胶囊,胶囊剂,每粒0.32克*24,吉林省俊宏药业有限公司,国药准字Z20060148,盒
707,67631,龙涎膏药,外用,6贴,四川康辰药业有限公司总经销,豫周械备20140003号,盒
708,67632,九康鹿,外用,18克,永丰县顽达康生物科技有限公司,赣卫消证字（2018）第D025号,盒
709,67633,小儿氨酚黄那敏颗粒,颗粒剂,10袋装,四川高原明珠制药有限公司,国药准字H51023391,盒
710,67634,苯磺酸氨氯地平片,片剂,5mg*14粒,上海迪赛诺生物医药有限公司,国药准字H20093494,盒
711,67635,脱脂纱布块,,3cm*6cm*2g,河南亚太医疗器械有限公司,,包
712,07804,青霉素V钾片,片剂,0.236g*30片,山西好医生药业有限公司,国药准字H14022826,盒
713,67636,人工牛黄甲硝唑胶囊,胶囊剂,"甲硝唑0.2g,人工牛黄5mg*12粒",山西好医生药业有限公司,国药准字H14022919,盒
714,67637,咳特灵胶囊,胶囊剂,"每粒含小叶榕干浸膏360mg,马来酸氯苯那敏1.4mg",山西好医生药业有限公司,国药准字Z14020808,盒
715,67638,穿黄清热胶囊,胶囊剂,每粒装0.36g,四川好医生药业集团有限公司,国药准字Z20080341,盒
716,67639,养血安神片,片剂,基片重约0.25g*48粒),通化利民药业有限责任公司,国药准字Z22023901,盒
717,67640,退热贴,外用,1*4,阜阳市贤信堂药业有限公司,皖阜食药监械生产备20180003号,盒
718,67641,葡萄糖酸钙锌口服溶液,口服溶液剂,10ml*30支,湖北午时药业股份有限公司,国药准字H20059419,盒
719,67642,怡暖医用热敷贴（猪小妹）,外用,1*10,安徽鑫路达医疗器械有限公司,皖食药械准20150030号,包
720,67643,怡暖医用热敷贴（猪小屁）,外用,1*10,安徽鑫露达医疗用品有限公司,皖食药监械生产许20150030号,包
721,67644,一次性使用无菌敷贴,外用,1张,河南久之康贸易有限公司,浙食药监械生产许20140097号,包
722,67645,归脾丸,丸剂(水蜜丸),----,太极集团四川绵阳制药有限公司,国药准字Z51020459,盒
723,67646,肾骨片,片剂,每片重0.5g*200片,吉林吉春制药股份有限公司,国药准字Z20080239,瓶
724,67647,阿胶强骨口服液,合剂,10ml/支；5ml/支,新疆华世丹药业股份有限公司,国药准字Z20000039,盒
725,67648,感冒止咳颗粒,颗粒剂,每袋装10g,葵花药业集团(襄阳)隆中有限公司,国药准字Z20093536,盒
726,67649,黄花蛇膏药,外用,10贴,山西普济圣生物医药科技有限公司,晋临械备20170117号,盒
727,67650,复方氨酚烷胺片,片剂,复方,长春迪瑞制药有限公司,国药准字H22025675,盒
728,67651,奥美拉唑肠溶胶囊,胶囊剂,20mg*14粒,山东罗欣药业集团股份有限公司,国药准字H20033444,盒
729,67652,甲钴胺片,片剂,0.5mg*20片,江苏四环生物制药有限公司,国药准字H20051410,盒
730,67653,生理海水通窍鼻腔清洗液,外用,60ml,西安天正元医药有限公司,陕卫消证字（2019）第X501号,瓶
731,67654,金桑子口腔抑菌含漱液柠檬,外用,250ml,西安中天生物科技有限公司,陕卫消证字（2010）第0106号,瓶
732,67655,金桑子口腔抑菌含漱液,外用,250ml,西安中天生物科技有限公司,陕卫消证字（2010）第0106号,瓶
733,67656,熊胆明目舒目冷敷凝露,外用,10ml,陕西秦石药业有限公司,陕卫械备20170006号,盒
734,67657,湿痒仁立牌草本抑菌洗液,外用,280ml,江西仁立实业有限公司,赣卫消证字（2015）第c017号,瓶
735,67658,海之氧目隐形眼镜护理液,外用,380ml,西安奇草堂医药科技有限公司,陕卫消证字（2014）第0187号,瓶
736,67659,益生菌干冻粉,颗粒剂,3g*20条,安徽全康药业有限公司,食品生产许可证编号sc11434122205038,盒
737,67660,一次性口罩,外用,1*10个,米筛浪（上海）实业有限公司,,包
738,67661,三九维生素软胶囊,胶囊剂,100粒,安徽三九药业有限公司,国食健注G20160021,瓶
739,67662,三七（20头）,,0.5kg每袋,四川省卓宇制药有限公司,,g
740,67663,布洛芬混悬液,口服混悬剂,2%*4,扬州市三药制药有限公司,国药准字H10970354,盒
741,67664,恩替卡韦分散片,片剂,14片,山东鲁抗医药股份有限公司,国药准字H20130061,盒
742,67665,浪漫环纹避孕套,外用,12pcs,成都市羊子山路,辽械注准20172660192号,盒
743,67666,阿托伐他汀钙片,片剂,10mg(以C33H35FN2O5计)*14片,浙江新东港药业股份有限公司,国药准字H20133127,盒
744,67667,苯溴马隆片,片剂,50mg*10片,常州康普药业有限公司,国药准字H19990335,盒
745,67668,丁酸氢化可的松乳膏,乳膏剂,10g:10mg,天津太平洋制药有限公司,国药准字H20058397,盒
746,67669,阿托伐他汀钙分散片,片剂,10mg,广东百科制药有限公司,国药准字H20120021,盒
747,67670,格列本脲片,片剂,2.5mg,山西云鹏制药有限公司,国药准字H14020780,瓶
748,67671,贞芪扶正颗粒,颗粒剂,每袋装5g；15g,山西德元堂药业有限公司,国药准字Z14020883,盒
749,67672,午时茶颗粒,颗粒剂,每袋装6克,黄石燕舞药业有限公司,国药准字Z42020189,盒
750,67673,飞度退热贴,,4贴装,医药器械有限公司广东合纵,,盒
751,67674,清热散结片,片剂,60片,广东省惠州市中药厂有限公司,国药准字Z44023844,盒
752,67675,替米沙坦片,片剂,40mg*14片,东芝堂药业(安徽)有限公司,国药准字H20051438,盒
753,67676,检查手套,外用,100只,医用卫生材料有限公司南昌市恩惠,赣洪械备20150041号,袋
754,67677,橡胶检查手套,外用,1付,江西丹美实业有限公司,赣械注准20152660026,袋
755,67678,盐酸左氧氟沙星滴眼液,眼用制剂,5ml:15mg,亚邦医药股份有限公司,国药准字H20030390,盒
756,67679,成人隔离面罩,外用,3层,青岛千江生物工程有限公司,鲁青械备20160009号,盒
757,67680,儿童隔离面罩,,3层,青岛千江生物工程有限公司,鲁青械备20160009号,盒
758,67681,天然维生素软胶囊,胶囊剂,60粒,威海百合生物有限公司,国食健字G20151041,盒
759,67682,天然维生素软胶囊,胶囊剂,160粒,安徽自然堂生物科技有限公司,国食健字G20141075,瓶
760,67683,枸橼酸西地那非片,片剂,50mg*1粒,广州白云山医药集团股份有限公司白云山制药总厂,国药准字H20143255,盒
761,67684,盐酸特比萘芬片,片剂,0.125g*6粒,悦康药业集团上海制药有限公司,国药准字H20163016,盒
762,67685,感冒止咳颗粒,颗粒剂,每袋重10g*10袋,广东恒诚制药有限公司,国药准字Z44021528,盒
763,67686,盐酸左氧氟沙星片,片剂,0.1g*12片,山东罗欣药业集团股份有限公司,国药准字H20044979,盒
764,67687,冠心七味片,片剂,每片重0.32克,内蒙古天奇中蒙制药股份有限公司,国药准字Z20093720,盒
765,67688,复方感冒灵片,片剂(薄膜衣),每片含原药材6.25g;含对乙酰氨基酚42mg,广州诺金制药有限公司,国药准字Z44022509,盒
766,67690,维生素E软胶囊,软胶囊剂,0.1g*30粒,海南海神同洲制药有限公司,国药准字H20044487,盒
767,67691,辛芩颗粒,颗粒剂,"(1)每袋装20g,(2)每袋装10g",浙江普洛康裕天然药物有限公司,国药准字Z33020633,盒
768,67692,感冒止咳颗粒,颗粒剂,每袋装10g*10袋,葵花药业集团(襄阳)隆中有限公司,国药准字Z20093536,盒
769,67693,舒筋活血片,片剂,每片重0.37g*90片,三门峡广宇生物制药有限公司,国药准字Z41020731,盒
770,67694,黄连上清片,片剂,每片重0.25克,重庆格瑞林药业有限公司,国药准字Z20053886,盒
771,67695,阿莫西林胶囊,胶囊剂,0.25g(按C16H19N3O5S计),山西太原药业有限公司,国药准字H10983006,盒
772,67696,痛经贴,,3贴装,云南白药集团无锡药业有限公司,苏械注准20162261140,盒
773,67697,头孢呋辛酯片,片剂,250mg*6粒,广州白云山天心制药股份有限公司,国药准字H20020192,盒
774,67698,麝香壮骨膏,贴膏剂,1*10贴,安徽金马药业有限公司,国药准字Z34020938,盒
775,67699,葡萄糖注射液,注射剂,20ml:10g*5支,湖北科伦药业有限公司,国药准字H42021188,板
776,67700,格列齐特片(Ⅱ),片剂,80mg,浙江京新药业股份有限公司,国药准字H19983058,盒
777,67701,纱布块,,2*1,宝鸡高盛医疗用品有限公司,陕械注准20172640109,包
778,67702,通窍鼻炎片,片剂,0.35g*40颗,通化颐生药业股份有限公司,国药准字Z20053732,盒
779,67703,阿昔洛韦乳膏,乳膏剂,10g:0.3g,安徽新和成皖南药业有限公司,国药准字H20055164,支
780,67704,板蓝根颗粒,颗粒剂,每袋装10g*20小袋,葵花药业集团湖北武当有限公司,国药准字Z42021108,袋
781,67705,硫酸沙丁胺醇气雾剂,气雾剂,"100μg/揿(按沙丁胺醇计),200揿/瓶",山东京卫制药有限公司,国药准字H20113348,盒
782,67706,复方板蓝根颗粒,颗粒剂,每袋装15g*20袋装,四川高原明珠制药有限公司,国药准字Z51021377,袋
783,67707,维C银翘片,片剂,每片含维生素*12片,云南省曲靖药业有限公司,国药准字Z53020996,袋
784,67708,维生素E软胶囊,软胶囊剂,0.1g,海南海神同洲制药有限公司,国药准字H20044487,盒
785,67709,氨咖黄敏胶囊,胶囊剂,复方,重庆迪康长江制药有限公司,国药准字H50021677,板
786,67710,克霉唑乳膏,乳膏剂,10克；0.1克(1%),新乡市琦宁药业有限公司,国药准字H41023824,支
787,67711,曲咪新乳膏,乳膏剂,每克含硝酸咪康唑10mg;醋酸曲安奈德1mg;硫酸新霉素3000单位。,山东良福制药有限公司,国药准字H37023136,支
788,67712,藿香正气水,酊剂,每支装10ml,四川省府庆制药有限公司,国药准字Z51022378,盒
789,67713,复方丹参颗粒,颗粒剂,1g*12袋,金鸿药业股份有限公司,,盒
790,67714,复方甘草片,片剂,复方,湖南尔康湘药制药有限公司,国药准字H43021141,盒
791,67715,复方鱼腥草合剂,合剂,"每瓶装10ml,120ml",浙江国镜药业有限公司,国药准字Z20033124,盒
792,67716,84消毒液乐康,,500g,四川乐康医药辅料有限公司,Q/91511621071447432J-2,瓶
793,67717,盐酸倍他司汀口服液,口服溶液剂,10ml*6支,黑龙江中桂制药有限公司,国药准字H23020091,盒
794,67718,对乙酰氨基酚片,片剂,0.5g,国药集团汕头金石制药有限公司,国药准字H44021051,盒
795,67719,炎可宁片,片剂,每片重0.31g,吉林玉仁制药股份有限公司,国药准字Z22025244,盒
796,67720,清热解毒胶囊,胶囊剂,每粒装0.3g,陕西步长制药有限公司,国药准字Z10980046,盒
797,67721,参苓白术颗粒,颗粒剂,每袋装6克*8袋,山西华康药业股份有限公司,国药准字Z14020399,盒
798,67722,秋水仙碱片,片剂,0.5mg*20粒,云南植物药业有限公司,国药准字H53020166,盒
799,67723,75%酒精,,500ml,四川乐康药用辅料有限公司,川广安消卫字2014第001号,瓶
800,6941166000667724,抗感颗粒,颗粒剂,每袋装10g*6,北京汉典制药有限公司,国药准字Z11020343,盒
801,67724,喉舒宁片,片剂,每基片重0.3g,通化振霖药业有限责任公司,国药准字Z20054216,盒
802,67725,头孢克肟胶囊,胶囊剂,0.1g*12粒,云南昊邦制药有限公司,国药准字H53021613,盒
803,67726,辛伐他汀片,片剂,10mg*21片,涿州东乐制药有限公司,国药准字H20083227,盒
804,67727,六味地黄胶囊,胶囊剂,0.3g*54粒,哈尔滨天地药业有限公司,国药准字Z19993017,盒
805,67728,复方桔梗止咳片,片剂,每片重0.25克*48片,三门峡广宇生物制药有限公司,国药准字Z41020720,盒
806,67729,棉签,,包,江西松鹤医疗器械有限公司,赣卫注械20182640086,包
807,67730,玻璃体温计,,1*1,宁波市勤州华鑫仪器有限公司,浙械注准20172200641,支
808,67731,咳特灵片,片剂,36片,广西冠峰集团贵港市制药有限公司,国药准字Z45022035,盒
809,67732,舒极妇科康乃馨凝胶,栓剂,3g*5支,三明市浦嘉南洋生物科技有限公司,闽卫消证字（2010）第0021号,盒
810,67733,舒极活肽,栓剂,3g*5支,三明市浦嘉南洋生物科技有限公司,闽卫消证字（2010）第0021号,盒
811,67734,氟康唑胶囊,胶囊剂,50mg,江苏福邦药业有限公司,国药准字H20057154,盒
812,67735,七叶神安片,片剂,50mg,云南特安呐制药股份有限公司,国药准字Z53020175,盒
813,67736,盐酸地芬尼多片,片剂,25mg*30片,湖南千金湘江药业股份有限公司,国药准字H43020325,瓶
814,67737,百癣夏塔热片,片剂,每片重0.3g,新疆奇康哈博维药股份有限公司,国药准字Z20113049,盒
815,67738,咳特灵胶囊,胶囊剂,30片,广西金页制药有限公司,国药准字Z45022165,瓶
816,67739,莫匹罗星软膏,膏剂,5G,杭州朱养心药业有限公司,h20173389,支
817,67740,血塞通分散片,片剂,0.1g*12片,湖南一格制药有限公司,国药准字Z20050014,盒
818,67741,阿胶,胶剂,每块重25g*10块,石家庄亚昌药业有限公司,国药准字Z36020725,盒
819,67742,玄麦甘桔颗粒,颗粒剂,每袋装6克;10克,葵花药业集团（重庆）有限公司,国药准字Z51022457,盒
820,67743,伤痛宁片,片剂,每片重0.36g,黑龙江鼎恒升药业有限公司,国药准字Z23022040,盒
821,67744,布洛芬缓释胶囊,胶囊剂,0.3g*11粒,吉林省力胜制药有限公司,国药准字H22026083,盒
822,67745,降糖宁胶囊,胶囊剂,每粒装0.4g*36颗,通化颐生药业股份有限公司,国药准字Z22021233,盒
823,67746,替米沙坦胶囊,胶囊剂,40mg,山西华元医药生物技术有限公司,国药准字H20050380,盒
824,67747,盆炎净胶囊,胶囊剂,每粒装0.40g*24粒,吉林省利华制药有限公司,国药准字Z20060314,盒
825,67748,复方石韦胶囊,胶囊剂,每粒装0.3g,黑龙江天翼药业有限公司,国药准字Z20080216,盒
826,67749,半分钟医用鼻舒冷敷凝露,外用,20ml,陕西鸿润堂药业有限公司,陕卫械备20180017号,瓶
827,67750,维生素c片,胶囊剂,100片,安徽三九华康药业有限公司,食健备G201834000807,瓶
828,67751,藏药奇效贴,外用,8贴,郑州市江山康裕医药科技有限公司,豫械注准20152260425,盒
829,67752,海之养目护理液,,150ml,陕西健驰生物药业有限公司,陕卫消证字2014第0187号,瓶
830,67753,维生素c泡腾片葡萄味,,4g*20片,安徽三九华康药业有限公司,食健备G201934001463,瓶
831,67754,维生素c泡腾片针叶樱桃味,,4g*20片,安徽三九华康药业有限公司,食健备G201934001462,瓶
832,67755,维生素c泡腾片甜橙味,,4g*20片,安徽三九华康药业有限公司,食健备G201934001464,瓶
833,67756,维生素C泡腾片和蜜瓜味,,4g*20片,安徽三九华康药业有限公司,食健备G201934001451,瓶
834,67757,螺内酯片,片剂,20mg*100片,杭州民生药业有限公司,国药准字H33020070,盒
835,67758,法莫替丁片,片剂,20mg,郑州瑞康制药有限公司,国药准字H41023392,盒
836,67759,金匮肾气丸,丸剂(大蜜丸),每丸重6g,葫芦岛国帝药业有限责任公司,国药准字Z21020338,盒
837,67760,蛇胆川贝液,糖浆剂,每支装10ml,湖北福广制药有限公司,国药准字Z42020086,盒
838,67761,碘伏消毒液,,500ml,四川乐康药用辅料有限公司,川广安卫消证字2014第001号,瓶
839,67762,非洛地平缓释片,片剂,5mg,莱阳市江波制药有限责任公司,国药准字H20103190,盒
840,67763,灰黄霉素片,片剂,0.1g*10片,重庆科瑞制药(集团)有限公司,国药准字H50020398,瓶
841,67764,马来酸氯苯那敏片,片剂,4mg,山西太原药业有限公司,国药准字H14021770,瓶
842,67765,陈香露白露片,片剂,每片重0.3g(含次硝酸铋0.066g),广西邦琪药业集团有限公司,国药准字Z45022086,瓶
843,67766,金银花露,露剂,每500g相当于金银花31.25g;每500ml相当于金银花31.25g,湖北金龙福药业有限公司,国药准字Z42021968,瓶
844,67767,板蓝根颗粒,颗粒剂,每袋装5g*12袋,江西铜鼓仁和制药有限公司,国药准字Z36020525,盒
845,67768,口腔溃疡喷剂,外用,20ml,陕西正言药业有限公司,陕西械备20180245号,盒
846,67769,滴通鼻炎水,鼻用制剂(滴鼻剂),10ml,广西博科药业有限公司,国药准字Z10983128,瓶
847,67770,KN95口罩,,个,安徽苏博伦劳保用品,GB2626-2006,个
848,67771,益母草颗粒,颗粒剂,每袋装15g,四川依科制药有限公司,国药准字Z20020121,盒
849,67772,甲硝唑口腔粘贴片,片剂,每片5毫克,山西迈迪制药有限公司,国药准字H20058401,盒
850,67773,格列齐特缓释片,片剂,30mg,沈阳永大制药有限公司,国药准字H20113267,盒
851,67774,75%酒精,外用,500ml,山东名德医疗科技有限公司,鲁卫消证字（2013）第1306号,瓶
852,67775,康复新液,合剂,90ml,湖南科伦制药有限公司,国药准字Z43020995,盒
853,67776,一次性使用无纺布口罩,,1*1,仙桃永利医疗用品有限公司,,片
854,67777,心宝丸,丸剂(浓缩丸),每丸重60mg,广东心宝药业科技有限公司,国药准字Z44021843,盒
855,67778,玻璃酸钠注射液,注射剂,2ml:20mg,上海昊海生物科技股份有限公司,国药准字H20051837,支
856,67779,乳宁片,片剂,每基片重0.32g,吉林省红石药业有限公司,国药准字Z20083257,盒
857,67780,玻璃酸钠注射液,注射剂,2.5ml:25mg,上海景峰制药股份有限公司,国药准字H20000643,支
858,67781,维生素B6片,片剂,10mg,山西汾河制药有限公司,国药准字H14022400,瓶
859,67782,碳酸氢钠片,片剂,0.3g,四川彩虹制药有限公司,国药准字H51020795,瓶
860,67783,谷维素片,片剂,10mg,上海玉瑞生物科技(安阳)药业有限公司,国药准字H41022837,瓶
861,67784,阿胶强骨口服液,合剂,10ml*12/支,新疆华世丹药业股份有限公司,国药准字Z20000039,盒
862,67785,六味地黄胶囊,胶囊剂,每粒装0.3g,广西鸿博药业有限公司,国药准字Z45020881,盒
863,67786,维生素C泡腾片水蜜桃味,片剂,4g*20片,武汉麦鑫利药业有限公司,国食健字G20150123,瓶
864,67787,维生素C泡腾片蓝莓味,片剂,4g*20片,武汉麦鑫利药业有限公司,国食健字G20150123,瓶
865,67788,维U颠茄铝胶囊Ⅲ,胶囊剂,复方,山西汾河制药有限公司,国药准字H14023787,盒
866,67789,奥美拉唑肠溶胶囊,胶囊剂,20mg*14粒,山东益健药业有限公司,,盒
867,67790,复方鱼腥草合剂,合剂,每瓶装10ml*12支,浙江国镜药业有限公司,国药准字Z20033124,盒
868,67791,一次性口罩,,1个,医疗器械有限公司四川康博,川械注准20202140018,片
869,67792,纱布绷带,,个,宝鸡高盛医疗用品有限公司,陕宝械备20150003,包
870,67793,濞多邦,外用,个,河北百草源药业,陕卫械备20180017号,支
871,67794,美肤烧烫伤膏,外用,15g,江西邦克实业有限公司,赣卫消证字2015第c078号,盒
872,67795,动感超波避孕套,外用,10pcs,高平市丹阳橡胶制品,晋械注准20172660008,盒
873,67796,超透薄003天然胶乳橡胶避孕套,,10pcs,海氏海诺乳胶青岛有限公司,鲁械注准20172660342,盒
874,67797,倍柔情人体润滑剂,外用,45g,北京盈佳伟业医疗用品有限公司,,盒
875,67798,大青叶,,0.5kg每袋,四川泰鹏药业有限公司,,g
876,67799,龙胆草,,0.5kg每袋,四川省泓圃药业有限公司,,g
877,67800,苕叶细辛,,0.5kg每袋,四川泰鹏药业有限公司,,g
878,67801,北豆根,,0.5kg每袋,四川省卓宇制药有限公司,,g
879,67802,知母,,0.5kg每袋,四川泰鹏药业有限公司,,g
880,67803,桑叶,,0.5kg每袋,四川省泓圃药业有限公司,,g
881,67804,芦根,,0.5kg每袋,四川省泓圃药业有限公司,,g
882,67805,番泻叶,,0.5kg每袋,四川金方生物医药科技有限公司,,g
883,67806,蒲公英,,0.5kg每袋,四川省卓宇制药有限公司,,g
884,67807,炒苍耳子,,0.5kg每袋,四川省卓宇制药有限公司,,g
885,67808,桂枝,,0.5kg每袋,四川省泓圃药业有限公司,,g
886,67809,决明子,,0.5kg每袋,四川省卓宇制药有限公司,,g
887,67810,桔梗,,0.5kg每袋,四川泰鹏药业有限公司,,g
888,67811,牡丹皮,,0.5kg每袋,四川省卓宇制药有限公司,,g
889,67812,薄荷,,0.5kg每袋,四川金方生物医药科技有限公司,,g
890,67813,车前草,,0.5kg每袋,四川省泓圃药业有限公司,,g
891,67814,菊花,,0.5kg每袋,四川泰鹏药业有限公司,,g
892,67815,瓜蒌子,,0.5kg每袋,四川省卓宇制药有限公司,,g
893,67816,干姜,,0.5kg每袋,四川泰鹏药业有限公司,,g
894,67817,防风,,0.5kg每袋,四川省卓宇制药有限公司,,g
895,67818,瓜蒌皮,,0.5kg每袋,江西康保堂中药饮片有限公司,,g
896,67819,羌活,,0.5kg每袋,四川九威阁中药饮片有限公司,,g
897,67820,白芷,,0.5kg每袋,四川省卓宇制药有限公司,,g
898,67821,苦参,,0.5kg每袋,四川泰鹏药业有限公司,,g
899,67822,黄连,,0.5kg每袋,四川省卓宇制药有限公司,,g
900,67823,栀子,,0.5kg每袋,四川金方生物医药科技有限公司,,g
901,67824,黄柏,,0.5kg每袋,江西康齐乐中药材有限公司,,g
902,67825,胖大海,,0.5kg每袋,四川省卓宇制药有限公司,,g
